일자,기관 합계,기타법인,개인,외국인 합계,전체
"2022/02/17","434468.0","14546.0","-1098294.0","649280.0","0.0"
"2022/02/16","225360.0","27113.0","-207953.0","-44520.0","0.0"
"2022/02/15","34231.0","14428.0","170514.0","-219173.0","0.0"
"2022/02/14","96097.0","26567.0","-189317.0","66652.0","0.0"
"2022/02/11","-695299.0","14440.0","70597.0","610262.0","0.0"
"2022/02/10","-541883.0","14151.0","-306752.0","834484.0","0.0"
"2022/02/09","196999.0","23502.0","-460136.0","239634.0","0.0"
"2022/02/08","39352.0","11162.0","45585.0","-96099.0","0.0"
"2022/02/07","-832483.0","28496.0","810876.0","-6888.0","0.0"
"2022/02/04","214386.0","10124.0","-414860.0","190350.0","0.0"
"2022/02/03","49672.0","465.0","-133918.0","83780.0","0.0"
"2022/01/28","392309.0","35174.0","273540.0","-701023.0","0.0"
"2022/01/27","1847766.0","-2896.0","-139319.0","-1705551.0","0.0"
"2022/01/26","-15766.0","35706.0","221782.0","-241721.0","0.0"
"2022/01/25","-168060.0","25713.0","573338.0","-430992.0","0.0"
"2022/01/24","593599.0","-19725.0","-137679.0","-436194.0","0.0"
"2022/01/21","-643434.0","-31832.0","895770.0","-220505.0","0.0"
"2022/01/20","109130.0","22135.0","146128.0","-277393.0","0.0"
"2022/01/19","-11917.0","6603.0","-29367.0","34681.0","0.0"
"2022/01/18","-227403.0","11759.0","199945.0","15700.0","0.0"
"2022/01/17","178183.0","29235.0","481412.0","-688831.0","0.0"
"2022/01/14","-595314.0","33517.0","806923.0","-245126.0","0.0"
"2022/01/13","-303114.0","26880.0","-93451.0","369685.0","0.0"
"2022/01/12","605504.0","12269.0","-1072844.0","455071.0","0.0"
"2022/01/11","-261904.0","-1979.0","-218904.0","482786.0","0.0"
"2022/01/10","-499947.0","9019.0","572888.0","-81960.0","0.0"
"2022/01/07","-335729.0","-75509.0","-244197.0","655435.0","0.0"
"2022/01/06","-485487.0","19588.0","284731.0","181168.0","0.0"
"2022/01/05","-1322174.0","6303.0","698354.0","617517.0","0.0"
"2022/01/04","-745317.0","9238.0","645728.0","90351.0","0.0"
"2022/01/03","-811032.0","22612.0","522981.0","265438.0","0.0"
"2021/12/30","-760566.0","20698.0","953636.0","-213768.0","0.0"
"2021/12/29","-1736020.0","6407.0","1851903.0","-122290.0","0.0"
"2021/12/28","1518870.0","29811.0","-1997574.0","448893.0","0.0"
"2021/12/27","436229.0","59418.0","-544266.0","48619.0","0.0"
"2021/12/24","916150.0","26865.0","-1132403.0","189389.0","0.0"
"2021/12/23","578680.0","16078.0","-820862.0","226104.0","0.0"
"2021/12/22","61277.0","22480.0","-499763.0","416006.0","0.0"
"2021/12/21","601792.0","16494.0","-647605.0","29318.0","0.0"
"2021/12/20","-574922.0","43300.0","1086046.0","-554424.0","0.0"
"2021/12/17","-13784.0","9137.0","-527248.0","531895.0","0.0"
"2021/12/16","-51540.0","37305.0","-169221.0","183457.0","0.0"
"2021/12/15","-170007.0","25748.0","166791.0","-22533.0","0.0"
"2021/12/14","-187792.0","42017.0","-37596.0","183371.0","0.0"
"2021/12/13","468762.0","38022.0","-368325.0","-138459.0","0.0"
"2021/12/10","239481.0","34285.0","14961.0","-288727.0","0.0"
"2021/12/09","636816.0","-455320.0","-507623.0","326127.0","0.0"
"2021/12/08","802672.0","-37580.0","-686224.0","-78868.0","0.0"
"2021/12/07","-75685.0","7798.0","-139558.0","207445.0","0.0"
"2021/12/06","152086.0","13779.0","-167883.0","2017.0","0.0"
"2021/12/03","88680.0","25243.0","-265462.0","151538.0","0.0"
"2021/12/02","2889.0","31847.0","-919867.0","885130.0","0.0"
"2021/12/01","-110989.0","179332.0","-1010675.0","942332.0","0.0"
"2021/11/30","-639988.0","39407.0","733787.0","-133206.0","0.0"
"2021/11/29","714313.0","7967.0","-761931.0","39651.0","0.0"
"2021/11/26","-370954.0","59794.0","488062.0","-176901.0","0.0"
"2021/11/25","-150365.0","43720.0","201203.0","-94558.0","0.0"
"2021/11/24","-593131.0","36007.0","239352.0","317772.0","0.0"
"2021/11/23","-696063.0","35965.0","380165.0","279933.0","0.0"
"2021/11/22","567148.0","6332.0","-1369167.0","795687.0","0.0"
"2021/11/19","74996.0","46407.0","-354224.0","232820.0","0.0"
"2021/11/18","-197361.0","21682.0","221342.0","-45662.0","0.0"
"2021/11/17","-875727.0","40010.0","725989.0","109729.0","0.0"
"2021/11/16","-517149.0","14029.0","-145630.0","648750.0","0.0"
"2021/11/15","414721.0","692.0","-813673.0","398260.0","0.0"
"2021/11/12","594517.0","18609.0","-1040199.0","427073.0","0.0"
"2021/11/11","-242648.0","22739.0","131408.0","88502.0","0.0"
"2021/11/10","-234981.0","18533.0","234146.0","-17698.0","0.0"
"2021/11/09","274019.0","19769.0","-156481.0","-137306.0","0.0"
"2021/11/08","-276092.0","29327.0","364162.0","-117397.0","0.0"
"2021/11/05","-445010.0","16533.0","326183.0","102294.0","0.0"
"2021/11/04","337373.0","10635.0","-695419.0","347411.0","0.0"
"2021/11/03","-420407.0","25658.0","839178.0","-444430.0","0.0"
"2021/11/02","765402.0","-6764.0","-1075275.0","316637.0","0.0"
"2021/11/01","636808.0","-12460.0","-265703.0","-358644.0","0.0"
"2021/10/29","-475884.0","19830.0","1256575.0","-800521.0","0.0"
